Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"C1","C_0.1uF","C_0402_1005Metric",73.660000,-67.310000,90.000000,top
"C2","C_0.1uF","C_0402_1005Metric",109.220000,-78.740000,180.000000,top
"C3","C_0.1uF","C_0402_1005Metric",72.390000,-67.310000,90.000000,top
"C4","CP_10uF","CP_EIA-3216-18_Kemet-A",70.485000,-68.199000,270.000000,top
"D1","LED_RED","LED_0603_1608Metric_Castellated",54.610000,-155.575000,270.000000,top
"D2","LED_RED","LED_0603_1608Metric_Castellated",57.150000,-155.575000,270.000000,top
"D3","LED_RED","LED_0603_1608Metric_Castellated",59.690000,-155.575000,270.000000,top
"D4","LED_RED","LED_0603_1608Metric_Castellated",62.230000,-155.575000,270.000000,top
"D5","LED_RED","LED_0603_1608Metric_Castellated",64.770000,-155.575000,270.000000,top
"D6","LED_RED","LED_0603_1608Metric_Castellated",67.310000,-155.575000,270.000000,top
"D7","LED_RED","LED_0603_1608Metric_Castellated",69.850000,-155.575000,270.000000,top
"D8","LED_RED","LED_0603_1608Metric_Castellated",72.390000,-155.575000,270.000000,top
"D9","LED_RED","LED_0603_1608Metric_Castellated",74.930000,-155.575000,270.000000,top
"D10","LED_RED","LED_0603_1608Metric_Castellated",77.470000,-155.575000,270.000000,top
"D11","LED_RED","LED_0603_1608Metric_Castellated",80.010000,-155.575000,270.000000,top
"D12","LED_RED","LED_0603_1608Metric_Castellated",82.550000,-155.575000,270.000000,top
"D13","LED_RED","LED_0603_1608Metric_Castellated",85.090000,-155.575000,270.000000,top
"D14","LED_RED","LED_0603_1608Metric_Castellated",87.630000,-155.575000,270.000000,top
"D15","LED_RED","LED_0603_1608Metric_Castellated",90.170000,-155.575000,270.000000,top
"D16","LED_RED","LED_0603_1608Metric_Castellated",92.710000,-155.575000,270.000000,top
"D17","LED_RED","LED_0603_1608Metric_Castellated",95.250000,-155.575000,270.000000,top
"D18","LED_RED","LED_0603_1608Metric_Castellated",97.790000,-155.575000,270.000000,top
"D19","LED_RED","LED_0603_1608Metric_Castellated",100.330000,-155.575000,270.000000,top
